Scientific Name,Common Name,Family,Max Rooting Depth (m),Max Rooting Depth (feet),CA Phreatophytes,Reference,Location,Biome,Soil Type,Growth form,Method,Life span,Lat,Long,USDA soil texture,Native,GW Use
Acacia albida,Acacia albida,,1.5,4.92,,"Dupuy & Dreyfus, 1992","South Senegal,",tropical rainforest,,tree,soil coring,,,,,,
Acacia albida,Acacia albida,,16.5,54.13,,"Dupuy & Dreyfus, 1992","Central Senegal,",grass savanna,,tree,soil coring,,,,,,
Acacia albida,Acacia albida,,34,111.55,,"Dupuy & Dreyfus, 1992","Central Senegal,",grass savanna,,tree,soil coring,,,,,,
Acacia albida,Acacia albida,,4.5,14.76,,"Dupuy & Dreyfus, 1992","South Senegal,",tree savanna,,tree,soil coring,,,,,,
Acacia amythethoph,Large‐ leaved,,3.3,10.83,,"Timberlake & Calvert, 1993","Chilanga, S. Zambia",subtropical dry forest,clay over limestone,tree,excavation,,,,,,
Acacia auriculiformis,"Auri, Earleaf acacia,",,2,6.56,,"Das & Chaturvedi,","Pusa, Bihar, NE India",agrisivicultur e: trees,sandy loam,tree,soil cores+,,,,,,
Acacia eriocarpa,Woolly‐pod acacia,,0.5,1.64,,"Timberlake & Calvert, 1993","N. Dande Com Ld, N",subtropical dry forest,sand,small tree,excavation,,,,,,
Acacia erioloba,Camel thorn,,20,65.62,,"Obakeng, 2007","Kalahari sandveld, E.",grass/tree savanna,loamy fine sand,tree,lithiumchloride,,,,,,
Acacia erioloba,Camel thorn,,35,114.83,,"Obakeng, 2007","Kalahari sandveld, E.",grass/tree savanna,loamy fine sand,tree,lithiumchloride,,,,,,
Acacia erioloba,Camel thorn,,40,131.23,,"Obakeng, 2007","Kalahari sandveld, E.",grass/tree savanna,loamy fine sand,tree,lithiumchloride,,,,,,
Acacia erioloba,Camel thorn,,47,154.20,,"Obakeng, 2007","Kalahari sandveld, E.",grass/tree savanna,loamy fine sand,tree,lithiumchloride,,,,,,
Acacia erioloba,Camel thorn,,55,180.45,,"Obakeng, 2007","Kalahari sandveld, E.",grass/tree savanna,loamy fine sand,tree,lithiumchloride,,,,,,
Acacia erioloba,Camel thorn,,70,229.66,,"Obakeng, 2007","Kalahari sandveld, E.",grass/tree savanna,loamy fine sand,tree,lithiumchloride,,,,,,
Acacia fleckii,Blade thorn,,15,49.21,,"Obakeng, 2007","Kalahari sandveld, E.",grass/tree savanna,loamy fine sand,tree,lithiumchloride,,,,,,
Acacia fleckii,Blade thorn,,15,49.21,,"Obakeng, 2007","Kalahari sandveld, E.",grass/tree savanna,loamy fine sand,tree,lithiumchloride,,,,,,
Acacia fleckii,Blade thorn,,28,91.86,,"Obakeng, 2007","Kalahari sandveld, E.",grass/tree savanna,loamy fine sand,tree,lithiumchloride,,,,,,
Acacia gerrardii,Grey‐haired acacia,,3.3,10.83,,"Timberlake & Calvert, 1993","Chilanga, S. Zambia",subtropical dry forest,clay over limestone,tree,excavation,,,,,,
Acacia goetzei ssp.,,,1,3.28,,"Timberlake & Calvert, 1993","C. Hurungwe Com Ld, N.",subtropical dry forest,loamy sand (poorly drained),tree,excavation,,,,,,
Acacia goetzei ssp.,,,1.7,5.58,,"Timberlake & Calvert, 1993","Chilanga, S. Zambia",subtropical dry forest,clay over limestone,tree,excavation,,,,,,
Acacia goetzei ssp.,,,2.5,8.20,,"Timberlake & Calvert, 1993","Chilanga, S. Zambia",subtropical dry forest,clay,tree,excavation,,,,,,
Acacia greggii,Catclaw Acacia,Fabaceae,5.5,18.04,1,"Stromberg, J. 2013. Root patterns and hydrogeomorphic niches of riparian plants in the American
Southwest. Journal of Arid Environments 94 (2013) 1-9. Appendix B.  Rooting data for shrubs and trees.",Arizona,NR,NR,Shrub,Personal observation,,,,,1,ND
Acacia hockii,white thorn acacia,,2,6.56,,"Seghieri, 1995","Maroua, extreme N",Sudano‐ Sahelian,"sandy (0.4m), sandy‐clay deep",legumous tree,excavation to 1.5m,,,,,,
Acacia luederitzii,Kalahari‐sand Acacia,,1.6,5.25,,"Hipondoka et al., 2003",Kalahari Sandveld of,the south site,deep sand,tree,soil pits,,,,,,
Acacia mangium,"Black Wattle,",,5,16.40,,"Syahrinudin, 2005","East Kalemantan,","near Kenangan,",deeply weathered SL‐,legume tree,soil coringt 3m,,,,,,
Acacia mellifera,black thorn,,1.5,4.92,,"Hipondoka et al., 2003",Kalahari Sandveld of,the north site,deep sand,tree,soil pits,,,,,,
Acacia nigrescens,Knobthorn,,0.7,2.30,,"Timberlake & Calvert, 1993","Sasame Riv, N. Gokwe, N.",subtropical dry forest,clay loam (alluvium),tree,excavation,,,,,,
Acacia nigrescens,Knobthorn,,0.8,2.62,,"Timberlake & Calvert, 1993","N. Dande Com Ld, N",subtropical dry forest,sandy loam (alluvium),tree,excavation,,,,,,
Acacia nigrescens,Knobthorn,,1.2,3.94,,"Timberlake & Calvert, 1993","C. Lup ane, W. Zimbabwe",subtropical dry forest,consolidated karoo sands,tree,excavation,,,,,,
Acacia polyacantha,white thorn,,2.9,9.51,,"Timberlake & Calvert, 1993","Chilanga, S. Zambia",subtropical dry forest,clay over limestone,tree,excavation,,,,,,
Acacia reficiens,,,2.4,7.87,,"Coughenour et al., 1990","Turkana County, NW",subtropical dry forest,deep sandy soils,tree,excavation,,,,,,
Acacia robusta ssp,Splendid thorn,,0.9,2.95,,"Timberlake & Calvert, 1993","Sasame Riv, N. Gokwe, N.",subtropical dry forest,clay loam (alluvium),tree,excavation,,,,,,
Acacia seyal,Red acacia,,1.5,4.92,,"Seghieri, 1995","Maroua, extreme N",Sudano‐ Sahelian,"clay, 40‐45% smectite, dry‐",legumous tree,excavation to 1.5m,,,,,,
Acacia sieberiana,Paperbark Thorn,,3.6,11.81,,"Timberlake & Calvert, 1993","Chilanga, S. Zambia",subtropical dry forest,clay over limestone,tree,excavation,,,,,,
Acacia tortilis,Umbrella thorn acacia,,3.5,11.48,,"Coughenour et al., 1990","Turkana County, NW",subtropical dry forest,deep sandy soils,tree,excavation,,,,,,
Acacia tortilis,Umbrella thorn acacia,,25,82.02,,"Do et al., 2008","Sahel, northern",arid desert,deep and sandy,tree,soilsamples,,,,,,
Acacia tortilis,Umbrella thorn acacia,,1.5,4.92,,"Timberlake & Calvert, 1993","N. Dande Com Ld, N",subtropical dry forest,sandy loam (alluvium),tree,excavation,,,,,,
Acalypha virginica,Virginia threeseed,,0.02,0.07,,"Sherff, 1912",N. Illinoise near Lake,temperate riparian,black muck or partially,herb,excavation,,,,,,
Acamptopappus shockleyi,goldenheads,,0.4,1.31,,"Wallace et al., 1980","Mojave desert,",Arid desert,,subshrub,excavation,,,,,,
Acamptopappus sphaerocephalus,rayless goldenhead,,1,3.28,,"Esler & Rundel, 1999","Mojave Desert,",,granite alluvium,shrub,excavation,,,,,,
Acamptopappus sphaerocephalus,rayless goldenhead,Asteraceae,0.98,3.22,,Cody 1986,"Mojave Desert, California, USA",temperate semi-desert,decomposed granite,semi-shrub,,perennial,35.011,-115.4734,Ro,,
Acanthococos sp.,,,0.55,1.80,,"Rawitscher, 1948",Emas (Pirassununga,Campo Cerrado (tree,"deep, homogeneous",tree,deep wells (shafts),,,,,,
Acanthosicyos horrida,nara,,4.75,15.58,,"Kutschera‐Mitter, 1996","Swakopmund, Erongo,",arid desert,,shrub,excavation,,,,,,
Acanthyllis tragacanthoi,,,0.3,0.98,,"Cannon, 1913","Northern Sahara,",arid desert,,shrub,excavation,,,,,,
Acer glabrum,,,,,,,,,,,,,,,,1,
Acer macrophyllum,Bigleaf Maple,,,,,,,,,,,,,,,1,
Acer negundo,Box-elder,,2,6.56,1,"Sprackling and Read,",E. Nebraska,Prarie with planted and,Wabash clay,tree,excavation,,,,,,
Acer negundo,Box-elder,,3.7,12.14,1,"Sprackling and Read,",E. Nebraska,Prarie with planted and,Wabash siltloam,tree,excavation,,,,,,
Acer negundo,Box-elder,Aceraceae,4,13.12,1,"Stromberg, J. 2013. Root patterns and hydrogeomorphic niches of riparian plants in the American
Southwest. Journal of Arid Environments 94 (2013) 1-9. Appendix B.  Rooting data for shrubs and trees.",Missouri,Upland,clay,Tree,Excavation,,,,,1,Y
Acer rubrum,red maple,,3.5,11.48,,"Lyford and Wilson, 1964","Central MA, Harvard",temperate deciduous,"fine sandy loam, free drained and",tree,soil pits,,,,,,
Acer saccharinum,Silver maple,,3.4,11.15,,"Sprackling and Read,",E. Nebraska,Prarie with planted and,Wabash siltloam,tree,excavation,,,,,,
Acer saccharum,sugar maple,,1.5,4.92,,"Dawson, 1993","Ithaca, NY",temporate hardwood,"glacial till, silty loam,",tree,soilcores/pits,,,,,,
Acer saccharum,"sugar and red maple,",,> 1.0,> 3.28,,"Hendrick & Pregitzer,","N. lower peninsula,",temperate hardwood,Alfic and Typic Haplorthods on,tree,minirhizotrons to,,,,,,
Acer saccharum,"sugar and red maple,",,> 1.0,> 3.28,,"Hendrick & Pregitzer,","N. lower peninsula,",temperate hardwood,Entic and Typic Haplorthods on,tree,minirhizotrons to,,,,,,
Acer saccharum,sugar maple,,> 0.6,> 1.97,,"Riestenberg, 1994","near Cincinnati,",temperate deciduous,silty‐clay colluvium,tree,excavation,,,,,,
Acer saccharum,sugar maple,,1,3.28,,"Riestenberg, 1994","near Cincinnati,",temperate deciduous,silty‐clay colluvium,tree,excavation + trench,,,,,,
Acer saccharum,sugar maple,,0.91,2.99,,"Scully, 1942",E. Wisconsin,temperate hardwood,"A1: dark gray siltloam 4""; A2:","tree, vine","trenchwall,",,,,,,
Acer saccharum,sugar maple,,0.99,3.25,,"Scully, 1942",E. Wisconsin,temperate hardwood,"A1: dark gray siltloam 4""; A2:",tree,"trenchwall,",,,,,,
Acer saccharum,sugar maple,,1.04,3.41,,"Scully, 1942",E. Wisconsin,temperate hardwood,"A1: dark gray siltloam 4""; A2:",tree,"trenchwall,",,,,,,
Acer saccharum,sugar maple,,1.04,3.41,,"Scully, 1942",E. Wisconsin,temperate hardwood,"A1: dark gray siltloam 4""; A2:",tree,"trenchwall,",,,,,,
Acer saccharum,sugar maple,,1.07,3.51,,"Scully, 1942",E. Wisconsin,temperate hardwood,"A1: dark gray siltloam 4""; A2:",tree,"trenchwall,",,,,,,
Acer saccharum,sugar maple,,1.12,3.67,,"Scully, 1942",E. Wisconsin,temperate hardwood,"A1: dark gray siltloam 4""; A2:","tree, vine","trenchwall,",,,,,,
Acer saccharum,sugar maple,,1.17,3.84,,"Scully, 1942",E. Wisconsin,temperate hardwood,"A1: dark gray siltloam 4""; A2:",tree,"trenchwall,",,,,,,
Acer saccharum,sugar maple,,1.22,4.00,,"Scully, 1942",E. Wisconsin,temperate hardwood,"A1: dark gray siltloam 4""; A2:",tree,"trenchwall,",,,,,,
Acer semenovii,Turkestan Shrub,,5.1,16.73,,"Nesterova, 1996","Zailiisky Alatau Range,",dry steppe,,tree,trench,,,,,,
Achillea lanulosa,western yarrow,,1.07,3.51,,Spence 1937,"Boise, Idaho",semi‐arid shrub‐steppe,"loose coarse granite, high",forb,trenchwall,,,,,,
Achillea millefolium,,Asteraceae,1.7,5.58,,Spence 1937,"Boise River Watershed, Idaho, USA",bunchgrass prairie,"coarse, granitic",,,perennial,43.8207,-117.026,Sa,,
Achillea subalpina,Common yarrow,,0.16,0.52,,"Daubenmire, 1941","Medicine Bowel Range,",alpine tundra,stony scree,forb,exavation,,,,,,
Achnatherum hymenoides,,Poaceae,1.12,3.67,,Klepper et al. 1985,"Hanford Site, Hanford, Washington",temperate semi-desert,sandy loam to sand,cespitose grass,,perennial,46.6475,-119.5986,LoSa,,
Achnatherum hymenoides,,Poaceae,1.2,3.94,,Klepper et al. 1985,"Hanford Site, Hanford, Washington",temperate semi-desert,sandy loam to sand,cespitose grass,,perennial,46.6475,-119.5986,LoSa,,
Achnatherum hymenoides,,Poaceae,1.25,4.10,,Klepper et al. 1985,"Hanford Site, Hanford, Washington",temperate semi-desert,sandy loam to sand,cespitose grass,,perennial,46.6475,-119.5986,LoSa,,
Achnatherum lettermanii,,Poaceae,0.8,2.62,,Spence 1937,"Boise River Watershed, Idaho, USA",bunchgrass prairie,"coarse, granitic",cespitose grass,,perennial,43.8207,-117.026,Sa,,
Adansonia digitata,Baobab,,1.8,5.91,,"Fenner, 1980","W of Tsavo Natl Park, S",thorn bushland,,emergent tree,gully bankexposure,,,,,,
Adenium somalense,,,1.4,4.59,,"Glover, 1950",British Somaliland,semi‐arid desert,alluvial sand,shrub,excavation,,,,,,
Adenostoma fasciculatum,,Rosaceae,2.44,8.01,1,Hanes 1965,"California, USA",mediterranean sclerophyllous shrubland,silty to sandy,shrub,,perennial,36.7783,-119.4179,LoSa,,
Adenostoma fasciculatum,,Rosaceae,2.44,8.01,1,Hanes 1965,"California, USA",mediterranean sclerophyllous shrubland,silty to sandy,shrub,,perennial,36.7783,-119.4179,LoSa,,
Adenostoma fasciculatum,,Rosaceae,0.3,0.98,1,Miller & Ng 1977,"California, USA",mediterranean sclerophyllous shrubland,sandy loam over decomposed granite,shrub,,perennial,36.7783,-119.4179,SaLo,,
Adenostoma fasciculatum,,Rosaceae,1,3.28,1,Miller & Ng 1977,"California, USA",mediterranean sclerophyllous shrubland,sandy loam over decomposed granite,shrub,,perennial,36.7783,-119.4179,SaLo,,
Adenostoma fasciculatum,,Rosaceae,1,3.28,1,Miller & Ng 1977,"California, USA",mediterranean sclerophyllous shrubland,sandy loam over decomposed granite,shrub,,perennial,36.7783,-119.4179,SaLo,,
Adenostoma fasciculatum,,Rosaceae,7.62,25.00,1,Hellmers et al. 1955,"California, USA",mediterranean sclerophyllous shrubland,granitic bedrock,shrub,,perennial,34.2,-117.76,Ro,,
Adenostoma fasciculatum,Chamise,,> 2.45,>8.04,,"Hellmers et al., 1955",San Gabrial / Bernardino,Chaparral,"sandy loam, on loose rock",shrub,excavation,,,,,,
Adenostoma fasciculatum,Chamise,,7.62,25.00,,"Hellmers et al., 1955",San Gabrial / Bernardino,Chaparral,either gravel terraces or,shrub,road cut,,,,,,
Adenostoma sparsifolium,,Rosaceae,1.83,6.00,1,Hanes 1965,"California, USA",mediterranean sclerophyllous shrubland,silty to sandy,shrub,,perennial,36.7783,-119.4179,LoSa,,
Adenostoma sparsifolium,,Rosaceae,2.44,8.01,1,Hanes 1965,"California, USA",mediterranean sclerophyllous shrubland,silty to sandy,shrub,,perennial,36.7783,-119.4179,LoSa,,
Adesmia boronioides,,,< 2,<6.56,,"Bucci et al., 2009","Patagonia, NW Santa",dry steppe,gravely sandy loam or gravely,tall shrub,excavation,,,,,,
Adesmia volckmanni,,,1.4,4.59,,"Flombaum & Sala, 2012","INTA Rio Mayo,",Patagonian steppe,coarse textured with gravel and,shrub,unclear,,,,,,
Aesculus glabra,Ohio buckeye,,1.3,4.27,,"Sprackling and Read,",E. Nebraska,Prarie with planted and,Wabash siltloam,tree,excavation,,,,,,
Agave deserti,,Agavaceae,0.25,0.82,,Nobel 1989,"Deep Canyon Desert Research Center, California",subtropical desert,sand,succulent,,perennial,33.38,-116.24,Sa,,
Agave deserti,,Agavaceae,0.25,0.82,,Schenk & Jackson 2002,"S California, USA",subtropical desert,sand,,,,,,,1,
Agropyron cristatum L.,crested wheatgrass,,0.75 - 1,2.46-3.28,,Abbott et al. 1991,"SE Idaho, INEL",semi‐arid shrub‐steppe,sandy loam to clay; calcic,bunch grass,131I radiotracer,,,,,,
Agropyron cristatum L.,crested wheatgrass,,> 1.5,>4.92,,"Reynolds & Fraley, 1989","E of Idaho Falls, ID",semi‐arid shrub‐steppe,aeolian sandy loam and loess,grass,32P radiotracer,,,,,,
Agropyron dasystachyum,thickspike wheatgrass,,1.1,3.61,,"Coupland & Johnson, 1965",southern Saskatchewan,Canadian Prairies,loam,sod‐forming rhizomatous,trenchwall,,,,,,
Agropyron dasystachyum,thickspike wheatgrass,,1.12,3.67,,"Coupland & Johnson, 1965",southern Saskatchewan,Canadian Prairies,loam,sod‐forming rhizomatous,trenchwall,,,,,,
Agropyron dasystachyum,thickspike wheatgrass,,1.15,3.77,,"Coupland & Johnson, 1965",southern Saskatchewan,Canadian Prairies,loam,sod‐forming rhizomatous,trenchwall,,,,,,
Agropyron dasystachyum,thickspike wheatgrass,,1.22,4.00,,"Coupland & Johnson, 1965",southern Saskatchewan,Canadian Prairies,loam,sod‐forming rhizomatous,trenchwall,,,,,,
Agropyron dasystachyum,thickspike wheatgrass,,1.3,4.27,,"Coupland & Johnson, 1965",southern Saskatchewan,Canadian Prairies,loam,sod‐forming rhizomatous,trenchwall,,,,,,
Agropyron dasystachyum,thickspike wheatgrass,,1.42,4.66,,"Coupland & Johnson, 1965",southern Saskatchewan,Canadian Prairies,loam,sod‐forming rhizomatous,trenchwall,,,,,,
Agropyron dasystachyum,thickspike wheatgrass,,1.42,4.66,,"Coupland & Johnson, 1965",southern Saskatchewan,Canadian Prairies,loam,sod‐forming rhizomatous,trenchwall,,,,,,
Agropyron dasystachyum,thickspike wheatgrass,,1.52,4.99,,"Coupland & Johnson, 1965",southern Saskatchewan,Canadian Prairies,loam,sod‐forming rhizomatous,trenchwall,,,,,,
Agropyron desertorum,desert crested,,0.74,2.43,,Hironaka 1961,"Gem County, Idaho",semi‐arid pasture,"Brent silt loam, developed on an",grass,growthcloth bags,,,,,,
Agropyron glaucum,Wheat grass,,2.13,6.99,,"Weaver, 1919","near Colorado Springs,",shortgrass prairie,"very compact and hard, light‐",grass,excavation,,,,,,
Agropyron inerme,beardless wheatgrass,,1.05,3.44,,Spence 1937,"Boise, Idaho",semi‐arid shrub‐steppe,"loose coarse granite, fair",grass,trenchwall,,,,,,
Agropyron intermedium,intermediat e,,0.81,2.66,,Hironaka 1961,"Gem County, Idaho",semi‐arid pasture,"Brent silt loam, developed on an",grass,growthcloth bags,,,,,,
Agropyron smithii,western wheatgrass,,0.68,2.23,,"Coupland & Johnson, 1965",southern Saskatchewan,Canadian Prairies,sand,sod‐forming rhizomatous,trenchwall,,,,,,
Agropyron smithii,western wheatgrass,,1.27,4.17,,"Coupland & Johnson, 1965",southern Saskatchewan,Canadian Prairies,loam,sod‐forming rhizomatous,trenchwall,,,,,,
Agropyron smithii,western wheatgrass,,1.37,4.49,,"Coupland & Johnson, 1965",southern Saskatchewan,Canadian Prairies,loam,sod‐forming rhizomatous,trenchwall,,,,,,
Agropyron smithii,western wheatgrass,,1.52,4.99,,"Coupland & Johnson, 1965",southern Saskatchewan,Canadian Prairies,loam,sod‐forming rhizomatous,trenchwall,,,,,,
Agropyron smithii,western wheatgrass,,1.55,5.09,,"Coupland & Johnson, 1965",southern Saskatchewan,Canadian Prairies,loam,sod‐forming rhizomatous,trenchwall,,,,,,
Agropyron smithii,western wheatgrass,,1.65,5.41,,"Coupland & Johnson, 1965",southern Saskatchewan,Canadian Prairies,loam,sod‐forming rhizomatous,trenchwall,,,,,,
Agropyron spicatum,Bluebunch Wheatgrass,,1.46,4.79,,"Weaver, 1915","near Pullman, SE",High Prairie,"fine silt‐loam, can be very",bunch grass,excavation,,,,,,
Agropyrum repens,couch grass,,2.44,8.01,,"Weaver, 1919",Prairies of E. Nebraska,prairie,loess,bunch grass,excavation,,,,,,
Agrostis alba,redtop,,0.04,0.13,,"Sherff, 1912",N. Illinoise near Lake,temperate riparian,black muck or partially,grass,excavation,,,,,,
Agrostis halli,,,0.7,2.30,,"Koteen et al., 2011","Marin County, N‐C",Mediterrane an grassland,"sandy loam, sandstone/shale",rhizomatous grass,soil coring,,,,,,
Ailanthus altissima,Tree-of-Heaven,Simaroubaceae,1.2,3.94,,"Stromberg, J. 2013. Root patterns and hydrogeomorphic niches of riparian plants in the American
Southwest. Journal of Arid Environments 94 (2013) 1-9. Appendix B.  Rooting data for shrubs and trees.",Kentucky,NR,NR,Tree,Excavation,,,,,0,ND
Aizoon hispanicum,,,0.03,0.10,,"Schwarz, 1938","Judaean Desert, Israel",arid desert,,leaf succulent forb,,,,,,,
Ajania fastigiata,,,1.2,3.94,,"Nesterova, 1996","Zailiisky Alatau Range,",dry steppe,,shrub,trench,,,,,,
Albizia amara,"silk plants, silk trees,",,2.1,6.89,,"Timberlake & Calvert, 1993","Chilanga, S. Zambia",subtropical dry forest,clay over limestone,tree,excavation,,,,,,
Albizia versicolor,Poison‐pod albizia,,2.8,9.19,,"Timberlake & Calvert, 1993","Chilanga, S. Zambia",subtropical dry forest,clay over limestone,tree,excavation,,,,,,
Alchemilla obtusa,,,0.37,1.21,,"Nesterova, 1996","Zailiisky Alatau Range,",dry steppe,,rhizomatous herb,trench,,,,,,
Alchornea trewioides,,,0.26,0.85,,"Nie et al., 2014","NW Guangxi province, SW",subtropical moist forest,"rock outcrops, soil (loam) or",shrub,excavation,,,,,,
Alchornea trewioides,,,0.35,1.15,,"Nie et al., 2014","NW Guangxi province, SW",subtropical moist forest,"1m soil‐rock frag mixture,",shrub,excavation,,,,,,
Alchornea trewioides,,,0.37,1.21,,"Nie et al., 2014","NW Guangxi province, SW",subtropical moist forest,"thin soil (<30cm), clay to",shrub,excavation,,,,,,
Aletes acaulis,Stemless indian,,0.76,2.49,,"Weaver, 1919","near Pike's Peak,",Gravel‐slide community,gravel,herb,excavation,,,,,,
Alhagi camelorum,,,,,1,,,,,,,,,,,,
Alhagi pseudoalhagi,Camel thorn,,2.9,9.51,,"Baitulin, 1996",Southern Kazakhstan,xeric shrubland,meadow Sierozem,small thorny shrub,excavation,,,,,,
Alhagi sparsifolia,,,5,16.40,,"Arndt, et al., 2004","Taklamakan desert, W.",arid desert,pure silt,herb,excavation,,,,,,
Alhagi sparsifolia,,,1.7,5.58,,"Vonlanthen et al., 2010","Takalamakan, W. Chin A",desert,pure silt,shrub,in‐growthtubes,,,,,,
Allenrolfea occidentalis,pickleweed,,0.61,2.00,1,"Meinzer, 1927","Tooele Valley, Utah",arid valleys of the US SW,clay,shrub,excavation,,,,,,
Allenrolfea occidentalis,Iodine Bush,,0.07,0.23,1,"Trent, J.D., R.R. Blank, J.A. Young (1997) Ecophysiology of the Temperate Desert Halophytes: Allenrolfea occidentalis and Sarcobatus vermiculatus. Great Basin Naturalist 57(1), pp. 57-65",,,,,,,,,,1,
Allenrolfea occidentalis,Iodine Bush,,1.8,5.91,1,Lech Naumovich. 2017 TNC Crowdsourcing Campaign Survey Response.,"Springtown, Livermore, CA",Wetland,Clay. In alkali sink. Disturbed soils.,,Field verification,,,,,1,
