LastName,FirstName,DatasetID,Dataset,SpeciesName,AccSpeciesID,AccSpeciesName,ObservationID,ObsDataID,TraitID,TraitName,DataID,DataName,OriglName,OrigValueStr,OrigUnitStr,OriglName,OrigValueStr,OrigUnitStr,ValueKindName,OrigUncertaintyStr,UncertaintyName,Replicates,StdValue,UnitName,RelUncertaintyPercent,OrigObsDataID,ErrorRisk,Reference,Comment,StdValueStr
Pausas,Juli,440,P50R - A global P50 & Resprouting Database,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,2754471,25379127,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",6913,Mean P50 including only data from flushed curve,P50 (MPa),-6.9966,MPa,Mean ?50 (F only) (MPa),-6.9966,MPa,Single,,,,-6.9966,Mpa,,,,"Pausas, J. G., Pratt, R. B., Keeley, J. E., Jacobsen, A. L., Ramirez, A. R., Vilagrosa, A. , Paula, S. , Kaneakua&#8208;Pia, I. N. and Davis, S. D. (2016), Towards understanding resprouting at the global scale. New Phytol, 209: 945-954. doi:10.1111/nph.13644",,
Pausas,Juli,440,P50R - A global P50 & Resprouting Database,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,2754471,25379126,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",6912,Mean P50 including all data,P50 (MPa),-6.9966,MPa,Mean ?50 (with all) (MPa),-6.9966,MPa,Single,,,,-6.9966,Mpa,,,,"Pausas, J. G., Pratt, R. B., Keeley, J. E., Jacobsen, A. L., Ramirez, A. R., Vilagrosa, A. , Paula, S. , Kaneakua&#8208;Pia, I. N. and Davis, S. D. (2016), Towards understanding resprouting at the global scale. New Phytol, 209: 945-954. doi:10.1111/nph.13644",,
Jansen,Steven,241,Xylem Functional Traits (XFT) Database,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,1727042,12513630,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2099,Xylem water potential at which 50% of conductivity is lost (P50),P50 (MPa),-8.33,Mpa,P50 (MPa),-8.33,Mpa,Single,,,,-8.33,Mpa,,,,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688",the xylem tension at which 50% of the maximum hydraulic conductivity is lost,
Jansen,Steven,241,Xylem Functional Traits (XFT) Database,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,1727043,12513731,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2099,Xylem water potential at which 50% of conductivity is lost (P50),P50 (MPa),-7.983174511,Mpa,P50 (MPa),-7.983174511,Mpa,Single,,,,-7.983174511,Mpa,,,,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688",the xylem tension at which 50% of the maximum hydraulic conductivity is lost,
Jansen,Steven,241,Xylem Functional Traits (XFT) Database,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,1727044,12513834,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2099,Xylem water potential at which 50% of conductivity is lost (P50),P50 (MPa),-7.249728624,Mpa,P50 (MPa),-7.249728624,Mpa,Single,,,,-7.249728624,Mpa,,,,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688",the xylem tension at which 50% of the maximum hydraulic conductivity is lost,
Jansen,Steven,241,Xylem Functional Traits (XFT) Database,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,1727046,12514032,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2099,Xylem water potential at which 50% of conductivity is lost (P50),P50 (MPa),-7.249728624,Mpa,P50 (MPa),-7.249728624,Mpa,Single,,,,-7.249728624,Mpa,,,,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688",the xylem tension at which 50% of the maximum hydraulic conductivity is lost,
Manzoni,Stefano,197,Plant Hydraulic Traits,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,4523043,50617459,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2099,Xylem water potential at which 50% of conductivity is lost (P50),P50 (MPa),-8.38,Mpa,Water potential at 50% loss of conductivity Psi_50 (MPa),-8.38,Mpa,Mean,,,,-8.38,Mpa,,,,"Manzoni S, Giulia Vico, Amilcare Porporato, Gabriel Katul (2013) Biological constraints on water transport in the soilñplantñatmosphere system. Advances in Water Resources  51:292ñ304",,
Manzoni,Stefano,197,Plant Hydraulic Traits,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,4523462,50622058,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2099,Xylem water potential at which 50% of conductivity is lost (P50),P50 (MPa),-4.88552097,Mpa,Water potential at 50% loss of conductivity Psi_50 (MPa),-4.88552097,Mpa,Mean,,,,-4.88552097,Mpa,,,,"Manzoni S, Giulia Vico, Amilcare Porporato, Gabriel Katul (2013) Biological constraints on water transport in the soilñplantñatmosphere system. Advances in Water Resources  51:292ñ304",,
Jansen,Steven,241,Xylem Functional Traits (XFT) Database,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,1727043,12513733,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2100,Xylem water potential at which 88% of conductivity is lost (P88),P88 (MPa),-12.02083067,Mpa,P88 (MPa),-12.02083067,Mpa,Single,,,,-12.02083067,Mpa,,,,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688",the xylem tension at which 88% of the maximum hydraulic conductivity is lost,
Jansen,Steven,241,Xylem Functional Traits (XFT) Database,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,1727044,12513836,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2100,Xylem water potential at which 88% of conductivity is lost (P88),P88 (MPa),-10.66919355,Mpa,P88 (MPa),-10.66919355,Mpa,Single,,,,-10.66919355,Mpa,,,,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688",the xylem tension at which 88% of the maximum hydraulic conductivity is lost,
Jansen,Steven,241,Xylem Functional Traits (XFT) Database,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,1727046,12514034,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2100,Xylem water potential at which 88% of conductivity is lost (P88),P88 (MPa),-10.66919355,Mpa,P88 (MPa),-10.66919355,Mpa,Single,,,,-10.66919355,Mpa,,,,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688",the xylem tension at which 88% of the maximum hydraulic conductivity is lost,
Jansen,Steven,241,Xylem Functional Traits (XFT) Database,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,1727042,12513635,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2543,Minimum midday xylem pressure potential,Pmin midday (Mpa),-7.8,Mpa,Pmin midday (Mpa),-7.8,Mpa,Single,,,,-7.8,Mpa,,,,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688",Minimum midday xylem pressure potential,
Jansen,Steven,241,Xylem Functional Traits (XFT) Database,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,1727043,12513739,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2543,Minimum midday xylem pressure potential,Pmin midday (Mpa),-6.53,Mpa,Pmin midday (Mpa),-6.53,Mpa,Single,,,,-6.53,Mpa,,,,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688",Minimum midday xylem pressure potential,
Jansen,Steven,241,Xylem Functional Traits (XFT) Database,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,1727044,12513842,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2543,Minimum midday xylem pressure potential,Pmin midday (Mpa),-4.7,Mpa,Pmin midday (Mpa),-4.7,Mpa,Single,,,,-4.7,Mpa,,,,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688",Minimum midday xylem pressure potential,
Jansen,Steven,241,Xylem Functional Traits (XFT) Database,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,1727045,12513939,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2543,Minimum midday xylem pressure potential,Pmin midday (Mpa),-4.698333333,Mpa,Pmin midday (Mpa),-4.698333333,Mpa,Single,,,,-4.698333333,Mpa,,,,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688",Minimum midday xylem pressure potential,
Dahlin,Kyla,293,Jasper Ridge leaf chemistry data,Arbutus menziesii,4443,Arbutus menziesii,2499351,20541043,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",4081,Leaf dry fraction,LDMC,0.428,g/g,dry.frac,0.428,g dry mass / g fresh mass,Single,,,,0.428,g/g,,,0.651659,"Dahlin KM, Asner GP & CB Field (2013) Environmental and community controls on plant canopy chemistry in a Mediterranean-type ecosystem. Proceedings of the National Academy of Sciences USA. 110(17): 6895-6900",dry frac: dry weight/ wet weight,
Dahlin,Kyla,293,Jasper Ridge leaf chemistry data,Arbutus menziesii,4443,Arbutus menziesii,2499359,20541131,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",4081,Leaf dry fraction,LDMC,0.453,g/g,dry.frac,0.453,g dry mass / g fresh mass,Single,,,,0.453,g/g,,,0.310333,"Dahlin KM, Asner GP & CB Field (2013) Environmental and community controls on plant canopy chemistry in a Mediterranean-type ecosystem. Proceedings of the National Academy of Sciences USA. 110(17): 6895-6900",dry frac: dry weight/ wet weight,
Dahlin,Kyla,293,Jasper Ridge leaf chemistry data,Arbutus menziesii,4443,Arbutus menziesii,2499365,20541197,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",4081,Leaf dry fraction,LDMC,0.447,g/g,dry.frac,0.447,g dry mass / g fresh mass,Single,,,,0.447,g/g,,,0.390502,"Dahlin KM, Asner GP & CB Field (2013) Environmental and community controls on plant canopy chemistry in a Mediterranean-type ecosystem. Proceedings of the National Academy of Sciences USA. 110(17): 6895-6900",dry frac: dry weight/ wet weight,
Dahlin,Kyla,293,Jasper Ridge leaf chemistry data,Arbutus menziesii,4443,Arbutus menziesii,2499384,20541406,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",4081,Leaf dry fraction,LDMC,0.454,g/g,dry.frac,0.454,g dry mass / g fresh mass,Single,,,,0.454,g/g,,,0.297075,"Dahlin KM, Asner GP & CB Field (2013) Environmental and community controls on plant canopy chemistry in a Mediterranean-type ecosystem. Proceedings of the National Academy of Sciences USA. 110(17): 6895-6900",dry frac: dry weight/ wet weight,
Jansen,Steven,241,Xylem Functional Traits (XFT) Database,Arctostaphylos glandulosa,4508,Arctostaphylos glandulosa,1727105,12519553,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2537,Xylem water potential at which 12% of conductivity is lost (P12),P12 (MPa),-1,Mpa,P12 (MPa),-1,Mpa,Single,,,,-1,Mpa,,,,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688",the xylem tension at which 12% of the maximum hydraulic conductivity is lost,
Jansen,Steven,241,Xylem Functional Traits (XFT) Database,Arctostaphylos glandulosa,4508,Arctostaphylos glandulosa,1727107,12519760,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2537,Xylem water potential at which 12% of conductivity is lost (P12),P12 (MPa),-1.167377521,Mpa,P12 (MPa),-1.167377521,Mpa,Single,,,,-1.167377521,Mpa,,,,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688",the xylem tension at which 12% of the maximum hydraulic conductivity is lost,
Jansen,Steven,241,Xylem Functional Traits (XFT) Database,Arctostaphylos glandulosa,4508,Arctostaphylos glandulosa,1727109,12519958,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2537,Xylem water potential at which 12% of conductivity is lost (P12),P12 (MPa),-1.167377521,Mpa,P12 (MPa),-1.167377521,Mpa,Single,,,,-1.167377521,Mpa,,,,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688",the xylem tension at which 12% of the maximum hydraulic conductivity is lost,
Jansen,Steven,187,Xylem Functional Traits (XFT) Database: Nature Subset,Arctostaphylos glandulosa,4508,Arctostaphylos glandulosa,1393245,10183048,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2099,Xylem water potential at which 50% of conductivity is lost (P50),P50 (MPa),-4.41,MPa,P50,-4.41,MPa,Single,,,,-4.41,Mpa,,,,"Brendan Choat,  Steven Jansen et al. (2012) Global convergence in the vulnerability of forests to drought. Nature 491, 752ñ755 doi:10.1038/nature11688",Xylem water potential at which 50% of conductivity is lost (?50),
