,AccSpeciesID,AccSpeciesName,nSLA,SLA,nLDMC,LDMC,nSWC,SWC,SWC_from_LDMC
113,515,Acacia paradoxa,11,6.772177363,0,NA,0,NA,NA
114,516,Acacia parramattensis,1,10.34598701,0,NA,0,NA,NA
115,522,Acacia penninervis,6,4.939504256,0,NA,0,NA,NA
116,535,Acacia platycarpa,1,5.215756424,1,0.471155308,0,NA,1.122442393
117,541,Acacia polybotrya,1,8.331275415,0,NA,0,NA,NA
118,546,Acacia pravissima,1,8.016860562,0,NA,0,NA,NA
119,555,Acacia pycnantha,12,4.028366795,0,NA,0,NA,NA
120,568,Acacia retinodes,1,7.588758805,0,NA,0,NA,NA
121,578,Acacia rostellifera,3,6.682897621,0,NA,0,NA,NA
122,585,Acacia saligna,92,5.51310291,0,NA,0,NA,NA
123,589,Acacia sclerophylla,1,4.001471699,0,NA,0,NA,NA
124,607,Acacia sp,5,4.961199647,1,0.553412542,0,NA,0.806970251
125,615,Acacia stricta,3,7.282836273,0,NA,0,NA,NA
126,617,Acacia suaveolens,17,6.26953138,1,0.33829,0,NA,1.956043631
127,631,Acacia terminalis,4,7.023922372,1,0.46006,0,NA,1.173629527
128,632,Acacia tetragonophylla,11,4.167816723,0,NA,0,NA,NA
129,642,Acacia trineura,2,6.977637642,0,NA,0,NA,NA
130,643,Acacia triptera,1,3.805363152,0,NA,0,NA,NA
131,647,Acacia ulicifolia,3,13.33189968,1,0.41867,0,NA,1.388516015
132,649,Acacia uncinata,2,5.937640086,0,NA,0,NA,NA
133,654,Acacia verniciflua,3,8.829254845,0,NA,0,NA,NA
134,656,Acacia verticillata,1,5.864536004,0,NA,0,NA,NA
135,658,Acacia victoriae,12,4.579103098,0,NA,0,NA,NA
136,663,Acacia wattsiana,2,4.433780363,0,NA,0,NA,NA
137,666,Acacia wilhelmiana,9,5.526084478,0,NA,0,NA,NA
138,676,Acaena anserinifolia,1,24.45398604,0,NA,0,NA,NA
139,686,Acaena magellanica,12,12.9515,4,0.274368736,0,NA,2.644730141
140,688,ACAENA NOVAE-ZELANDIAE,21,12.6426032,10,0.342,0,NA,1.923976608
141,690,Acaena ovina,2,9.408,1,0.386,0,NA,1.590673575
142,697,Acaena sp,2,19.988,1,0.385,0,NA,1.597402597
143,711,Acalypha caturus,6,13.18333333,0,NA,0,NA,NA
144,717,Acalypha communis,2,8.043615748,1,0.3,0,NA,2.333333333
145,721,Acalypha diversifolia,33,23.63865025,28,0.347444055,0,NA,1.878161203
146,726,Acalypha glabrata,2,14.66171488,0,NA,0,NA,NA
147,733,Acalypha macrostachya,55,32.59856764,50,0.235101855,0,NA,3.253475586
148,742,Acalypha pubiflora,2,22.54911157,0,NA,0,NA,NA
149,745,Acalypha skutchii,4,35.43564162,0,NA,0,NA,NA
150,750,Acalypha virginica,13,28.64025148,10,0.247298574,0,NA,3.043694977
151,756,Acamptopappus sphaerocephalus,22,NA,22,0.333210559,0,NA,2.001105373
152,760,Acantholimon diapensioides,3,7.125409043,0,NA,0,NA,NA
153,771,Acanthopsis disperma,1,5.219206681,0,NA,0,NA,NA
154,777,Acanthosyris annonagustata,3,18.73490767,0,NA,0,NA,NA
155,787,Acca sellowiana,8,8.115447364,0,NA,0,NA,NA
156,793,Acer barbinerve,30,33.84712759,25,0.304,0,NA,2.289473684
157,794,Acer buergerianum,10,19.65500375,4,0.497959719,0,NA,1.008194564
158,796,Acer campbellii,2,28.18979244,1,0.400735294,0,NA,1.495412844
159,797,Acer campestre,90,18.03075485,38,0.339403311,0,NA,1.946347214
160,802,Acer caudatum,9,32.75083044,0,NA,0,NA,NA
161,803,Acer circinatum,11,34.82971439,0,NA,0,NA,NA
162,809,Acer davidii,2,15.74637681,1,0.35669,0,NA,1.803554908
163,812,Acer distylum,1,36.76470588,0,NA,0,NA,NA
164,813,Acer erianthum,2,22.08646617,0,NA,0,NA,NA
165,818,Acer glabrum,30,26.05767145,0,NA,0,NA,NA
166,819,Acer granatense,31,24.04049103,29,0.401637416,0,NA,1.489807871
167,820,Acer grandidentatum,1,16.24731183,0,NA,0,NA,NA
168,826,Acer japonicum,9,26.29145529,0,NA,0,NA,NA
169,829,Acer laurinum,2,19.30501931,0,NA,0,NA,NA
170,830,Acer leucoderme,1,12.96680498,0,NA,0,NA,NA
171,833,Acer macrophyllum,10,24.81768882,0,NA,0,NA,NA
172,834,Acer mandshuricum,4,26.2685,2,0.374037193,0,NA,1.673530921
173,835,Acer maximowiczianum,2,20.33347225,0,NA,0,NA,NA
174,839,Acer monspessulanum,49,16.39918174,25,0.389683658,0,NA,1.566184082
175,841,Acer negundo,137,24.28754159,35,0.30145612,0,NA,2.317232376
176,846,Acer obtusatum,21,23.61326831,18,0.38890398,0,NA,1.571328789
177,848,Acer opalus,20,20.65285153,10,0.259371371,0,NA,2.85547563
178,849,Acer palmatum,26,26.63580791,0,NA,0,NA,NA
179,850,Acer pectinatum,1,33.33333333,0,NA,0,NA,NA
180,852,Acer pensylvanicum,743,39.40709252,379,0.238395868,0,NA,3.194703579
181,853,Acer pictum,64,27.4441697,31,0.317189151,0,NA,2.152692954
182,854,Acer platanoides,168,20.00479865,76,0.384126649,0,NA,1.603308054
183,855,Acer pseudoplatanus,232,15.89047102,118,0.344293194,0,NA,1.904501212
184,857,Acer pseudosieboldianum,22,35.11904762,18,0.307888889,0,NA,2.247924937
185,859,Acer rubrum,558,20.31415906,87,0.309206522,0,NA,2.23408444
186,860,Acer rufinerve,7,18.38204484,0,NA,0,NA,NA
187,861,Acer saccharinum,35,27.25791451,15,0.28788,0,NA,2.473669585
188,863,Acer saccharum,1240,31.19477119,484,0.325296171,0,NA,2.074121644
189,864,Acer sempervirens,1,9.55,1,0.49437,0,NA,1.022776463
190,866,Acer sieboldianum,2,13.8121547,0,NA,0,NA,NA
191,868,Acer sp,1,13.07463544,0,NA,0,NA,NA
192,869,Acer spicatum,75,37.41417498,11,0.218,0,NA,3.587155963
193,873,Acer tataricum,13,21.27559992,5,0.457474787,0,NA,1.185912817
194,874,Acer tegmentosum,33,34.79914953,23,0.225209779,0,NA,3.440304529
195,877,Acer truncatum,2,15.18847007,0,NA,0,NA,NA
196,878,Acer tschonoskii,5,29.11780959,0,NA,0,NA,NA
197,901,Achillea collina,18,25.29357143,13,0.224612308,0,NA,3.452115782
198,904,Achillea erba-rotta,6,17.50971872,5,0.25325657,0,NA,2.948564882
199,906,Achillea filipendulina,15,12.15539335,0,NA,0,NA,NA
200,908,Achillea macrophylla,20,26.57888703,14,0.191165983,0,NA,4.231056193
201,909,Achillea millefolium,935,16.06116348,535,0.238688373,0,NA,3.189563099
202,912,Achillea nobilis,9,11.89625,6,0.39977,0,NA,1.501438327
203,916,Achillea ptarmica,33,24.94878525,18,0.194018029,0,NA,4.154160191
204,918,Achillea roseo-alba,10,17.23194674,10,0.178980537,0,NA,4.587199687
205,919,Achillea salicifolia,9,22.778,5,0.202432,0,NA,3.939930446
206,930,Achnatherum calamagrostis,13,19.79340977,12,0.299468606,0,NA,2.339248189
207,934,Achnatherum hymenoides,1,6.596,0,NA,0,NA,NA
208,935,Achnatherum inebrians,7,10.86245844,0,NA,0,NA,NA
209,938,Achnatherum sibiricum,43,8.482648733,1,0.609824273,0,NA,0.639816655
210,940,Achyrachaena mollis,1,19.39346874,1,0.139880787,0,NA,6.148944622
211,946,Achyrocline satureioides,1,14.28664828,0,NA,0,NA,NA
212,959,Acicarpha tribuloides,1,18.2469315,0,NA,0,NA,NA
213,979,Aciphylla aurea,6,3.470725995,6,0.352077362,0,NA,1.840284856
214,980,Aciphylla glacialis,18,6.772272727,7,0.358571429,0,NA,1.788844622
215,998,Acmispon brachycarpus,2,13.690123,1,0.184789067,0,NA,4.411575567
216,1002,Acmispon wrangelianus,1,19.57414966,1,0.172373358,0,NA,4.801360556
217,1004,Acnistus arborescens,1,13.31676,1,0.34,0,NA,1.941176471
218,1024,Aconitum gymnandrum,3,16.74645587,0,NA,0,NA,NA
219,1027,Aconitum lycoctonum,24,36.48521739,23,0.16442913,0,NA,5.081647439
220,1028,Aconitum napellus,38,25.04864905,20,0.188512836,0,NA,4.304678564
221,1033,Aconitum septentrionale,3,40.39588668,3,0.131192787,0,NA,6.622370292
222,1037,Aconitum variegatum,29,25.77925303,17,0.185567293,0,NA,4.38888067
223,1045,Acorus calamus,26,24.36241836,14,0.194436095,0,NA,4.14307799
224,1046,Acosmium cardenasii,13,17.66985336,1,0.332035626,0,NA,2.011725009
225,1058,Acradenia euodiiformis,15,9.577933333,0,NA,0,NA,NA
226,1092,Acronychia acidula,1,11.76470588,0,NA,0,NA,NA
227,1093,Acronychia acronychioides,1,8.618460743,0,NA,0,NA,NA
228,1094,Acronychia baeuerlenii,5,12.5768,0,NA,0,NA,NA
229,1099,Acronychia imperforata,30,10.22363333,0,NA,0,NA,NA
230,1100,Acronychia laevis,24,11.11929167,0,NA,0,NA,NA
231,1103,Acronychia oblongifolia,23,8.277695652,0,NA,0,NA,NA
232,1104,Acronychia octandra,5,5.22,0,NA,0,NA,NA
233,1107,Acronychia pedunculata,27,16.33942858,3,0.333690649,0,NA,1.996787599
234,1112,Acronychia suberosa,5,9.1416,0,NA,0,NA,NA
235,1115,Acronychia wilcoxiana,1,13.42314977,0,NA,0,NA,NA
236,1118,Acrostichum aureum,4,8.175134406,0,NA,0,NA,NA
237,1123,Acrotriche aggregata,24,6.79725,0,NA,0,NA,NA
238,1126,Acrotriche rigida,4,3.837746895,0,NA,0,NA,NA
239,1131,Actaea pachypoda,3,38.75219538,0,NA,0,NA,NA
240,1132,Actaea rubra,22,41.85525682,14,0.201964286,0,NA,3.951370469
241,1133,Actaea spicata,33,41.31008448,24,0.210850138,0,NA,3.742704984
242,1135,Actephila lindleyi,23,11.3433913,0,NA,0,NA,NA
243,1136,Actinidia arguta,5,69.52607146,0,NA,0,NA,NA
244,1140,Actinidia kolomikta,5,42.85864232,0,NA,0,NA,NA
245,1143,Actinidia rufa,2,13.14060447,0,NA,0,NA,NA
246,1148,Actinobole uliginosum,5,22.85555441,0,NA,0,NA,NA
247,1151,Actinodaphne ambigua,1,6.535947712,0,NA,0,NA,NA
248,1153,Actinodaphne borneensis,2,9.195117928,0,NA,0,NA,NA
249,1155,Actinodaphne glomerata,3,13.36114687,0,NA,0,NA,NA
250,1158,Actinodaphne longifolia,9,15.20485558,0,NA,0,NA,NA
251,1163,Actinodaphne obovata,1,12.90413793,1,0.340375587,0,NA,1.937931034
252,1168,Actinodaphne sp,1,15.336,0,NA,0,NA,NA
253,1175,Actinostemon concepcionis,3,36.67512531,1,0.294000936,0,NA,2.401349716
254,1184,Actinotus helianthi,4,11.07267323,1,0.42919,0,NA,1.329970409
255,1185,Actinotus minor,5,10.91466101,1,0.40493,0,NA,1.46956264
256,1186,Adansonia digitata,5,14.8481391,0,NA,0,NA,NA
257,1191,Adelia triloba,54,27.3675813,46,0.333562336,0,NA,1.99794039
258,1192,Adelobotrys adscendens,2,12.86702374,0,NA,0,NA,NA
259,1208,Adenanthos cygnorum,4,4.924854897,0,NA,0,NA,NA
260,1210,Adenia cordifolia,1,17.71,0,NA,0,NA,NA
261,1248,Adenocarpus foliolosus,12,15.74632485,0,NA,0,NA,NA
262,1269,Adenophora gmelinii,3,23.63520736,2,0.237478892,0,NA,3.210900558
263,1271,Adenophora liliifolia,11,36.42545455,11,0.21165,0,NA,3.724781479
264,1275,Adenophora stenanthina,3,14.43087242,2,0.296061945,0,NA,2.377671515
265,1278,Adenophora triphylla,7,46.37937852,5,0.140896188,0,NA,6.097424105
266,1285,Adenostoma fasciculatum,12,5.057214963,5,0.5256,0,NA,0.902587519
267,1286,Adenostoma sparsifolium,1,11.43,0,NA,0,NA,NA
268,1287,Adenostyles alliariae,39,24.15670081,21,0.159482746,0,NA,5.27027077
269,1288,Adenostyles alpina,31,18.43500521,20,0.144188258,0,NA,5.93537748
270,1294,Adesmia bicolor,1,11.97946311,0,NA,0,NA,NA
271,1305,ADIANTUM CAPILLUS-VENERIS,3,46.70333333,0,NA,0,NA,NA
272,1309,Adiantum formosum,1,29.24284314,0,NA,0,NA,NA
273,1312,Adiantum latifolium,32,20.59666515,13,0.350269172,0,NA,1.854947224
274,1315,Adiantum obliquum,8,12.67332958,0,NA,0,NA,NA
275,1317,Adiantum pedatum,9,41.95160353,4,0.310370441,0,NA,2.221956304
276,1323,Adina cordifolia,27,11.93533831,1,0.386075949,0,NA,1.590163934
277,1327,Adina pilulifera,32,22.41091058,27,0.359351701,0,NA,1.782789108
278,1332,Adinandra acuminata,2,12.23158479,0,NA,0,NA,NA
279,1339,Adinandra dumosa,5,7.148,0,NA,0,NA,NA
280,1342,Adinandra hainanensis,28,9.512036093,0,NA,0,NA,NA
281,1352,Adinandra sarosanthera,1,17.522,0,NA,0,NA,NA
282,1356,Adinandra verrucosa,2,6.877249517,0,NA,0,NA,NA
283,1360,Adonis aestivalis,10,33.04974359,7,0.141994286,0,NA,6.042536923
284,1364,Adonis vernalis,26,22.22239096,14,0.29396,0,NA,2.401823377
285,1365,Adoxa moschatellina,8,38.36,3,0.136666667,0,NA,6.317073171
286,1380,Aegialitis annulata,21,5.868238095,0,NA,0,NA,NA
287,1382,Aegiceras corniculatum,6,7.194,0,NA,0,NA,NA
288,1388,Aegilops caudata,4,27.85,0,NA,0,NA,NA
289,1389,Aegilops columnaris,4,24.225,0,NA,0,NA,NA
290,1390,Aegilops comosa,4,24.75,0,NA,0,NA,NA
291,1391,Aegilops crassa,3,24.6,0,NA,0,NA,NA
292,1392,Aegilops cylindrica,12,29.72166667,6,0.284645,0,NA,2.513147956
293,1393,Aegilops geniculata,20,23.29975,4,0.269935,0,NA,2.704595551
294,1394,Aegilops juvenalis,4,25.175,0,NA,0,NA,NA
295,1395,Aegilops kotschyi,6,24.69600962,0,NA,0,NA,NA
296,1396,Aegilops longissima,4,31.075,0,NA,0,NA,NA
297,1397,Aegilops lorentii,4,25.225,0,NA,0,NA,NA
298,1399,Aegilops mutica,4,28.375,0,NA,0,NA,NA
299,1400,Aegilops neglecta,16,30.31716667,1,0.21993,0,NA,3.546901287
300,1402,Aegilops peregrina,4,27.1,0,NA,0,NA,NA
301,1403,Aegilops searsii,3,24.3,0,NA,0,NA,NA
302,1405,Aegilops speltoides,4,28.575,0,NA,0,NA,NA
303,1407,Aegilops tauschii,6,24.34484495,0,NA,0,NA,NA
304,1408,Aegilops triuncialis,13,22.46037774,2,0.323038535,0,NA,2.095605916
305,1409,Aegilops umbellulata,4,24.275,0,NA,0,NA,NA
306,1410,Aegilops uniaristata,4,29.3,0,NA,0,NA,NA
307,1411,Aegilops vavilovii,4,21.3,0,NA,0,NA,NA
308,1412,Aegilops ventricosa,4,28.325,0,NA,0,NA,NA
309,1415,Aegiphila cephalophora,43,25.01284821,36,0.267487142,0,NA,2.738497461
310,1416,Aegiphila cordifolia,4,27.12447236,0,NA,0,NA,NA
311,1417,Aegiphila costaricensis,4,37.10463855,0,NA,0,NA,NA
312,1418,Aegiphila elata,15,15.69323562,12,0.33551731,0,NA,1.980472158
313,1420,Aegiphila falcata,2,27.92826087,0,NA,0,NA,NA
314,1422,Aegiphila haughtii,3,35.25907623,0,NA,0,NA,NA
315,1423,Aegiphila integrifolia,4,41.47124314,1,0.259468,0,NA,2.854039805
316,1428,Aegiphila panamensis,33,31.09342319,28,0.220548309,0,NA,3.53415401
317,1434,Aegiphila sp,10,23.7403874,0,NA,0,NA,NA
318,1436,Aegle marmelos,3,9.608763676,0,NA,0,NA,NA
319,1438,Aegopodium alpestre,11,47.92901692,8,0.171400106,0,NA,4.834302123
320,1439,Aegopodium podagraria,66,29.00968072,46,0.214286447,0,NA,3.666650703
321,1504,Aeschynomene americana,1,20.0342,0,NA,0,NA,NA
322,1566,Aesculus californica,9,14.99149655,2,0.3345,0,NA,1.989536622
323,1569,Aesculus flava,4,28.26673965,0,NA,0,NA,NA
324,1571,Aesculus hippocastanum,76,14.66611575,65,0.327969983,0,NA,2.049059523
325,1574,Aesculus parviflora,1,17.68033946,0,NA,0,NA,NA
326,1575,Aesculus pavia,15,17.51222877,0,NA,0,NA,NA
327,1590,Aethionema saxatile,5,12.3000864,5,0.259692,0,NA,2.850715463
328,1593,Aethusa cynapium,16,33.83111111,8,0.18121125,0,NA,4.51842118
329,1595,Aextoxicon punctatum,6,7.670024377,0,NA,0,NA,NA
330,1599,Afrocarpus falcatus,6,4.773333333,0,NA,0,NA,NA
331,1634,Agapanthus africanus,1,15.69,0,NA,0,NA,NA
332,1653,Agastache foeniculum,7,19.03760716,0,NA,0,NA,NA
333,1654,Agastache nepetoides,9,27.59177311,2,0.310629095,0,NA,2.219273456
334,1658,Agastachys odorata,10,3.658974102,0,NA,0,NA,NA
335,1662,Agathis australis,37,4.811354514,28,0.411820291,0,NA,1.428243633
336,1663,Agathis borneensis,2,5.586592179,0,NA,0,NA,NA
337,1670,Agathis robusta,24,8.077292066,0,NA,0,NA,NA
338,1679,Agave americana,1,NA,1,0.17,0,NA,4.882352941
339,1709,Agave virginica,61,8.733979877,10,0.104882021,0,NA,8.534522605
340,1712,Agelaea borneensis,1,17.225,0,NA,0,NA,NA
341,1716,Agelaea sp,1,17.281,0,NA,0,NA,NA
342,1717,Agelaea trinervis,1,14.155,0,NA,0,NA,NA
343,1722,Ageratina adenophora,9,22.69276221,1,0.12083,0,NA,7.276090375
344,1723,Ageratina altissima,33,39.62713387,25,0.200288849,0,NA,3.992789194
345,1729,Ageratina riparia,2,24.4438689,1,0.21898,0,NA,3.566627089
346,1742,Aglaia argentea,6,12.92427379,0,NA,0,NA,NA
347,1751,Aglaia elaeagnoidea,20,8.737986574,1,0.277858881,0,NA,2.598949212
348,1765,Aglaia leucophylla,1,16.739,0,NA,0,NA,NA
349,1766,Aglaia luzoniensis,1,16.739,0,NA,0,NA,NA
350,1773,Aglaia odoratissima,1,16.739,0,NA,0,NA,NA
351,1774,Aglaia pachyphylla,1,16.739,0,NA,0,NA,NA
352,1781,Aglaia silvestris,1,16.739,0,NA,0,NA,NA
353,1783,Aglaia sp,3,11.45571547,0,NA,0,NA,NA
354,1787,Aglaia tomentosa,5,16.34190145,0,NA,0,NA,NA
355,1796,Agonandra peruviana,3,13.31707285,0,NA,0,NA,NA
356,1797,Agonandra silvatica,19,13.02807259,0,NA,0,NA,NA
357,1799,Agonis flexuosa,2,5.050252525,0,NA,0,NA,NA
358,1805,Agoseris glauca,75,18.68762646,29,0.17364525,0,NA,4.758867583
359,1806,Agoseris grandiflora,1,15.98564955,1,0.189705198,0,NA,4.271336845
360,1807,Agoseris heterophylla,2,32.4717922,1,0.179560649,0,NA,4.569148951
361,1810,Agrimonia eupatoria,29,18.41433333,8,0.3469085,0,NA,1.882604491
362,1811,Agrimonia gryposepala,8,22.23603966,0,NA,0,NA,NA
363,1814,Agrimonia pilosa,6,36.36528187,4,0.252366547,0,NA,2.962490323
364,1815,Agrimonia procera,19,19.666,11,0.305020909,0,NA,2.278463771
365,1816,Agrimonia pubescens,20,13.46792275,18,0.329840489,0,NA,2.031768482
366,1822,Agriophyllum squarrosum,8,13.00776077,2,0.156069364,0,NA,5.407407407
367,1833,Agropyron cristatum,68,7.851501836,12,0.516646553,0,NA,0.935559222
368,1836,Agropyron desertorum,28,8.440686269,4,0.41575,0,NA,1.405291642
369,1839,Agropyron fragile,10,23.25549042,0,NA,0,NA,NA
370,1847,Agropyron michnoi,11,11.65085809,6,0.460140192,0,NA,1.173250714
371,1848,Agropyron mongolicum,1,11.36,0,NA,0,NA,NA
372,1869,Agrostemma githago,41,15.18831315,28,0.24356455,0,NA,3.105687799
373,1874,Agrostis agrostiflora,33,31.22531129,32,0.324075058,0,NA,2.085704913
374,1877,Agrostis alpina,21,8.051413875,11,0.464923362,0,NA,1.150892129
